"filename", "language", "JavaScript", "JSON", "XML", "Django HTML", "CSS", "PHP", "Pug", "Less", "SCSS", "comment", "blank", "total"
"d:\Websites\Krish Sataisya - Portfolio\assets\js\imagesloaded-pkgd.js", "JavaScript", 234, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 244
"d:\Websites\Krish Sataisya - Portfolio\assets\js\isotope.pkgd.min.js", "JavaScript", 1214, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 1243
"d:\Websites\Krish Sataisya - Portfolio\assets\js\jquery.min.js", "JavaScript", 3119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 3192
"d:\Websites\Krish Sataisya - Portfolio\assets\js\lenis.min.js", "JavaScript", 411, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 413
"d:\Websites\Krish Sataisya - Portfolio\assets\js\lightcase.js", "JavaScript", 1241, 0, 0, 0, 0, 0, 0, 0, 0, 427, 225, 1893
"d:\Websites\Krish Sataisya - Portfolio\assets\js\magnific-popup.js", "JavaScript", 657, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 660
"d:\Websites\Krish Sataisya - Portfolio\assets\js\main.js", "JavaScript", 1053, 0, 0, 0, 0, 0, 0, 0, 0, 89, 102, 1244
"d:\Websites\Krish Sataisya - Portfolio\assets\js\meanmenu.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 0, 0, 49, 26, 282
"d:\Websites\Krish Sataisya - Portfolio\assets\js\nice-select.min.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 65
"d:\Websites\Krish Sataisya - Portfolio\assets\js\odometer.min.js", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 190
"d:\Websites\Krish Sataisya - Portfolio\assets\js\owl.carousel.min.js", "JavaScript", 1028, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1034
"d:\Websites\Krish Sataisya - Portfolio\assets\js\sticky.min.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 201
"d:\Websites\Krish Sataisya - Portfolio\assets\js\swiper.min.js", "JavaScript", 6839, 0, 0, 0, 0, 0, 0, 0, 0, 12, 131, 6982
"d:\Websites\Krish Sataisya - Portfolio\assets\js\tj-cursor.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 159
"d:\Websites\Krish Sataisya - Portfolio\assets\js\validate.min.js", "JavaScript", 597, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 600
"d:\Websites\Krish Sataisya - Portfolio\assets\js\vanilla-tilt.min.js", "JavaScript", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182
"d:\Websites\Krish Sataisya - Portfolio\assets\js\wow.min.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 192
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 51, 3, 3, 57
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h4-animation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 78, 3, 11, 92
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h4-cursor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 102, 10, 15, 127
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h4-footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 8, 278
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h4-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 76, 4, 12, 92
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h5-footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 217, 4, 6, 227
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h5-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 149, 4, 13, 166
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h6-button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 4, 4, 45
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h6-footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 100, 4, 8, 112
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h6-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 133, 4, 2, 139
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h7-footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 112, 4, 12, 128
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_h8-footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 7
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\components\_sec-title.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 136, 4, 3, 143
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-about.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 4, 10, 53
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-counter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 116, 4, 5, 125
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-cta.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 79, 4, 3, 86
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-faq.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 46, 4, 3, 53
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-hero.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 355, 4, 4, 363
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-maquee.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 2, 33
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-progress.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 141, 4, 5, 150
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-project.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 130, 4, 10, 144
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-resume.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 171, 4, 4, 179
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-service.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 131, 4, 7, 142
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h4-testimonial.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 139, 4, 5, 148
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-contact.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 194, 4, 3, 201
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-counter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 112, 4, 7, 123
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-cta.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 181, 4, 4, 189
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-faq.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 188, 4, 20, 212
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-hero.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 341, 4, 7, 352
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-marquee.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 183, 4, 6, 193
"d:\Websites\Krish Sataisya - Portfolio\assets\sass\layout\_h5-portfolio.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 207, 4, 2, 213
